index,date,year,month,day,text,multi_labels,hier_label
63981,2021-09-20 11:46:01,2021,9,20,Выявленные за сутки заражения по регионам,"['Общество', 'Региональные новости']","['Общество', 'Здравоохранение']"
85441,2022-03-09 10:32:56,2022,3,9,"Доллар и евро уперлись в новые, повышенные потолки цен - 117,36 и 127,43 (исторический максимум для евро на Московской бирже) рублей",['Экономика'],"['Экономика', 'Финансы']"
140418,2024-03-05 14:28:17,2024,3,5,"ЛДПР внесла в Госдуму проект об увеличении с 5 до 10 лет срока проживания в России, необходимого для получения гражданства","['Политика', 'Общество']","['Политика', 'Законодательство']"
119976,2023-05-19 12:14:10,2023,5,19,"""Почта Молдовы"" с сегодняшнего дня прекращает прием отправлений в Россию - ""в связи с невозможностью отправки почты по данному направлению""","['Международные отношения', 'Экономика']","['Международные отношения', 'Транспорт']"
128484,2023-09-20 13:03:22,2023,9,20,"❗️Армения не принимала участие в разработке текста по прекращению огня в Карабахе, заявил Пашинян","['Политика', 'Международные отношения', 'Региональные новости']","['Политика', 'Конфликты']"
87696,2022-03-23 20:19:20,2022,3,23,"Фармкомпания Sanofi заявила, что прекращает новые расходы по поставкам, не связанные с жизненно необходимыми лекарствами и вакцинами, в Россию и Белоруссию","['Экономика', 'Международные отношения', 'Общество']","['Экономика', 'Санкции']"
111262,2022-12-29 19:07:12,2022,12,29,Путин подписал закон о приостановке судебных и исполнительных производств в отношении добровольцев и мобилизованных (кроме алиментов),"['Политика', 'Общество']","['Политика', 'Законодательство']"
143923,2024-04-02 18:21:02,2024,4,2,"Медведев ответил на вопрос РИА Новости, что делать Ирану после израильского удара по консульству в Сирии.

","['Международные отношения', 'Политика']","['Международные отношения', 'Ближний Восток']"
139357,2024-02-21 10:38:08,2024,2,21,"Магазин с товарами IKEA открылся в Новосибирске под названием RUKEЛ: посетителей пока немного, знаменитой акулы нет, а цены кусаются.

По оценке корреспондента РИА Новости, товары стали дороже примерно на 40%, а на некоторые из них цены вообще выросли в два раза. Товары в магазин поставляются по параллельному импорту.","['Экономика', 'Региональные новости', 'Общество']","['Экономика', 'Торговля']"
126521,2023-08-23 11:21:03,2023,8,23,"Южная Корея впервые за шесть лет провела общенациональные учения на случай воздушной тревоги. 

Учения продлились около 20 минут, включали тренировочную эвакуацию и 15-минутное ограничение дорожного движения. 

В 14.00 по местному времени на улицах Сеула и других городов зазвучали сирены, сигнал воздушной тревоги, одновременно жителям пришло сообщение от МВД с просьбой переместиться в любое ближайшее из 17 тысяч убежищ.","['Политика', 'Международные отношения', 'Общество']","['Политика', 'Оборона']"
162515,2024-10-30 17:23:43,2024,10,30,"США ввели санкции против гендиректора ""Трансмашхолдинга"" Кирилла Липы, сообщает американский минфин","['Международные отношения', 'Экономика', 'Политика']","['Международные отношения', 'Санкции']"
8114,2020-04-10 15:40:15,2020,4,10,ФМБА представило тест-системы на основе чипов для выявления коронавируса за 15-20 минут,"['Технологии', 'Общество']","['Технологии', 'Медицинские технологии']"
5153,2020-03-25 17:20:42,2020,3,25,Решения по инициативам Путина в части борьбы с коронавирусом могут быть приняты ГД на следующей неделе - зампред ЛДПР Нилов РИА Новости,"['Политика', 'Общество']","['Политика', 'Законодательство']"
126454,2023-08-22 12:29:34,2023,8,22,У Музея Победы в Москве в День государственного флага по традиции развернули триколор площадью в 1000 квадратных метров,"['Общество', 'Культура', 'Региональные новости']","['Общество', 'Праздники']"
109256,2022-12-01 02:49:51,2022,12,1,"Глава Apple Тим Кук заверил Илона Маска, что Twitter не удалят из App Store.

Маск сообщил, что встретился с Куком в штаб-квартире Apple и провел ""хороший разговор"".","['Технологии', 'Экономика', 'Общество']","['Технологии', 'Мобильные приложения']"
35317,2020-12-30 03:00:03,2020,12,30,"Голикова настаивает на отказе от алкоголя на несколько дней при вакцинации.

В беседе с РИА Новости вице-премьер призвала пожалеть себя, а не загружать организм еще каким-то стрессом для иммунитета.",['Общество'],"['Общество', 'Здравоохранение']"
49669,2021-05-15 01:31:28,2021,5,15,Не менее 34 палестинских и 2 израильских детей погибли за последние 4 дня конфликта – представитель ЮНИСЕФ РИА Новости,"['Международные отношения', 'Происшествия', 'Общество']","['Международные отношения', 'Ближний Восток']"
125218,2023-08-02 02:50:52,2023,8,2,"Украинские СМИ сообщают о взрывах в Киеве, городские власти заявили о работе систем ПВО. В Киеве и области объявлена воздушная тревога","['Происшествия', 'Региональные новости', 'Международные отношения']","['Происшествия', 'Военные действия']"
65114,2021-09-29 18:02:21,2021,9,29,"Путин раскритиковал выполнение поручений по долгосрочному развитию космической отрасли

""Задержки по выполнению программы по развитию космической отрасли могут привести к рискам, прошу доложить, с чем это связано""","['Политика', 'Технологии', 'Экономика']","['Политика', 'Промышленность']"
90804,2022-04-21 10:25:35,2022,4,21,"Оба кандидата тщательно подготовились к дискуссиям. Макрон быстро заставил соперницу обороняться. В 2017 году аналогичные дебаты нанесли решающий удар по ее кампании. Сейчас кандидат от правых стремилась привлечь тех избирателей, которым нелегко из-за роста цен на фоне спецоперации России на Украине.

В 2017 году дебаты были подобно автокатастрофе для Ле Пен, но нынешняя дискуссия была иной. Она работала над своим имиджем и политическим проектом. Не было нанесено ни одного нокаутирующего удара, не было очевидного победителя. У Ле Пен лучше получилось обратиться к опасениям рядовых французов. Макрону же, несмотря на его ""атаки"", не удалось спровоцировать оппонентку.

Ле Пен в этот раз была подготовлена лучше, чем пять лет назад. Ей посоветовали играть мать нации. Макрон пытался объяснить свои предложения, опираясь на факты, Ле Пен сделала упор на обещания и эмоциональные выражения.","['Политика', 'Международные отношения', 'Общество']","['Политика', 'Выборы']"
48161,2021-04-29 11:01:52,2021,4,29,"Мотоциклист перевернулся и загорелся в Волгограде, его потушил проезжавший мужчина","['Происшествия', 'Региональные новости']","['Происшествия', 'ДТП']"
23791,2020-09-11 16:44:28,2020,9,11,США заявили о поддержке белорусских забастовок,"['Международные отношения', 'Политика', 'Общество']","['Международные отношения', 'Внешняя политика США']"
92173,2022-05-04 15:32:58,2022,5,4,"❗️ФАС разрешила ""Мультипро"" приобрести ""Вимм-Билль-Данн Напитки"". В 2011 ""Вимм-Билль-Данн"" была куплена PepsiCo.

""Вимм-Билль-Данн"" - лидер рынка молочных продуктов и детского питания в России, а также один из ведущих игроков рынка безалкогольных напитков в стране.","['Экономика', 'Политика']","['Экономика', 'Слияния и поглощения']"
118081,2023-04-19 14:02:52,2023,4,19,"""ВКонтакте"" вводит специальный фильтр, который позволит пользователям скрывать нецензурные слова при просмотрах постов","['Технологии', 'Общество']","['Технологии', 'Социальные сети']"
168534,2024-12-28 15:01:42,2024,12,28,"Норвежец Магнус Карлсен,  к черту организаторов шахматного чемпионата мира по блицу и рапиду в Нью-Йорке, которые дисквалифицировали его за нарушение дресс-кода, пришел после этого на интервью в шортах","['Спорт', 'Общество']","['Спорт', 'Шахматы']"
53354,2021-06-17 16:44:27,2021,6,17,"Байден порекомендовал России подумать, стоит ли ей усиливать зависимость от Китая, сообщает госдеп

""Президент ясно дал понять: России нужно серьезно задуматься, хочет ли она усиливать свою зависимость от Китая с учетом ожиданий Китая на мировой арене""","['Международные отношения', 'Политика', 'Экономика']","['Международные отношения', 'Российско-американские отношения']"
162514,2024-10-30 17:21:14,2024,10,30,"Число погибших в испанской Валенсии в результате ливней  передает агентство RTVE.

В соцсетях и СМИ продолжают публиковать кадры стихии.","['Происшествия', 'Международные отношения', 'Общество']","['Происшествия', 'Стихийные бедствия']"
34586,2020-12-22 13:10:08,2020,12,22,"▪️ Физические лица, получающие иностранное финансирование на политическую деятельность, признаются иностранными агентами.

▪️ Политической деятельностью не будет считаться наука, культура, искусство, здравоохранение, защита материнства и детства, социальная поддержка инвалидов, пропаганда здорового образа жизни, защита растительного и животного мира и благотворительность.

▪️ Незарегистрированные политические НКО с иностранным финансированием признаются иностранными агентами.

▪️ Иностранным агентам запрещено занимать государственные должности, но члены НКО-иноагентов смогут входить в общественные советы при федеральных ведомствах.

▪️ СМИ будут обязаны маркировать материалы иноагентов.","['Политика', 'Общество']","['Политика', 'Законодательство']"
147530,2024-05-11 12:51:24,2024,5,11,"Пожар произошел в административном здании действующей АЭС на востоке Франции, угрозы самой станции нет, сообщили СМИ со ссылкой на пожарных. Уточняется, что на место происшествия выезжали жандармы для установления причин возгорания.","['Происшествия', 'Международные отношения', 'Технологии']","['Происшествия', 'Пожары']"
18511,2020-06-30 15:28:30,2020,6,30,"Президент Абхазии Бжания, вице-президент Гунба и премьер Анкваб проголосовали по поправкам в российскую конституцию. Потому что все трое россияне. Видео РИА Новости.","['Политика', 'Международные отношения', 'Региональные новости']","['Политика', 'Конституция']"
106114,2022-10-21 16:48:52,2022,10,21,Специальная военная операция. Обстановка на 21 октября.,"['Политика', 'Международные отношения', 'Происшествия']","['Политика', 'Военные действия']"
144078,2024-04-04 06:01:01,2024,4,4,"Украинского военного, комиссованного из-за потери половины руки, признали легкораненым, компенсацию от государства ему пришлось почти полностью потратить на лечение, и семья осталась без средств к существованию, рассказала РИА Новости его жена","['Общество', 'Политика', 'Международные отношения']","['Общество', 'Социальная политика']"
115543,2023-03-09 14:50:09,2023,3,9,"В поселке под Новороссийском спасли двух сычей, которые решили свить гнездо в дымоходе и едва не погибли. Чтобы освободить птиц из заточения, пришлось разобрать трубу.

По словам волонтера Натальи Колесниковой, сычи были все в саже, пришлось их долго отмывать. Сейчас птиц уже выпустили на волю.","['Общество', 'Региональные новости']","['Общество', 'Животные']"
23078,2020-08-30 22:23:05,2020,8,30,"Осужденный за призывы к экстремизму Егор Жуков избит у своего дома в Москве, сообщили его сторонники","['Происшествия', 'Политика', 'Общество']","['Происшествия', 'Нападения']"
100499,2022-08-16 11:45:15,2022,8,16,"На iPhone стало доступно в котором можно проверить курсы валют и металлов, узнать свой баланс и найти банкомат, а если прикрепить - то и получить Сбербанк рекомендует использовать это приложение своим клиентам на устройствах Apple, если у них еще не установлено приложение ""СберБанк Онлайн"" (с апреля это приложение из-за санкций против банка недоступно для скачивания, но уже установленное продолжает работать).","['Технологии', 'Экономика', 'Общество']","['Технологии', 'Мобильные приложения']"
114046,2023-02-14 11:04:56,2023,2,14,"В Москве поймали камерунца, который продавал ""волшебную"" черную бумагу, умеющую превращаться в настоящие деньги.

Аферист нашел в соцсетях доверчивого мужчину и рассказал, как приумножить сбережения. Секрет фокуса был прост: камерунец покрыл черной краской несколько купюр, а во время съемки ее смыл.

На личную встречу, которая прошла позже, он принес уже не раскрашенные деньги, а самую обычную бумагу, за которую взял $23 тысячи.","['Происшествия', 'Региональные новости', 'Общество']","['Происшествия', 'Мошенничество']"
97271,2022-07-01 19:55:03,2022,7,1,"Курский губернатор сообщил о повреждении нескольких домов в приграничном с Украиной поселке Теткино, пострадавших нет, степень ущерба оценивается","['Происшествия', 'Региональные новости', 'Международные отношения']","['Происшествия', 'Обстрелы']"
31373,2020-11-21 09:04:52,2020,11,21,"В Москве более 400 тысяч человек вылечились от коронавируса, сообщает оперштаб","['Общество', 'Региональные новости']","['Общество', 'Здравоохранение']"
157523,2024-09-05 09:47:11,2024,9,5,"❗️Белорусские военные ночью зафиксировали факт нарушения воздушного пространства - предположительно, дронами, они уничтожены, заявили в Минобороны Белоруссии","['Политика', 'Международные отношения', 'Происшествия']","['Политика', 'Оборона']"
130626,2023-10-21 12:38:44,2023,10,21,"Число людей, числящихся в списке заложников ХАМАС, возросло до 210, сообщила армия Израиля, отметив, что цифра не окончательная","['Международные отношения', 'Происшествия', 'Политика']","['Международные отношения', 'Ближний Восток']"
114503,2023-02-21 11:33:17,2023,2,21,"Песков о содержании послания Путина: можно предположить, что большая часть будет посвящена оценке причин и неизбежности спецоперации","['Политика', 'Международные отношения']","['Политика', 'Внутренняя политика']"
52526,2021-06-11 00:46:16,2021,6,11,"Кибератак в первые 3 месяца 2021 в мире стало еще больше (на 17% в сравнении с 2020), выяснила занимающаяся кибербезопасностью Positive Technologies (исследование есть у РИА Новости).

Чаще всего от атак страдали госучреждения, промышленность и организации в сфере науки и образования, а программы-вымогатели по-прежнему в приоритете у хакеров.","['Технологии', 'Происшествия', 'Экономика']","['Технологии', 'Кибербезопасность']"
53795,2021-06-21 11:51:36,2021,6,21,"Глава Горного Бадахшана - пограничного таджикистанского региона -  провел экстренное совещание, поручив готовиться к приему беженцев из Афганистана после ухода американцев, сообщили РИА Новости в его пресс-службе","['Международные отношения', 'Региональные новости', 'Общество']","['Международные отношения', 'Миграция']"
60442,2021-08-17 14:51:05,2021,8,17,"Преждевременно говорить, что Москва в ближайшее время может начать шаги по одностороннему признанию талибов законными властями - Лавров","['Международные отношения', 'Политика']","['Международные отношения', 'Дипломатия']"
94340,2022-05-27 17:02:11,2022,5,27,"Коллективный иммунитет к коронавирусу в России сейчас составляет 34,4%, в Москве 24,7%","['Общество', 'Региональные новости']","['Общество', 'Здравоохранение']"
112509,2023-01-23 10:25:07,2023,1,23,"Германия окажется в международной изоляции, если не согласится на поставки Украине танков Leopard, заявил замглавы польского МИД","['Международные отношения', 'Политика', 'Экономика']","['Международные отношения', 'Военная помощь']"
35727,2021-01-06 23:32:41,2021,1,6,❗️Спикер палаты представителей Пелоси эвакуирована,"['Политика', 'Происшествия', 'Международные отношения']","['Политика', 'Внутренняя политика США']"
135712,2023-12-30 21:51:11,2023,12,30,"Камеры видеонаблюдения в Белгороде зафиксировали, как родители закрывали собой детей во время обстрела","['Происшествия', 'Региональные новости', 'Общество']","['Происшествия', 'Обстрелы']"
79254,2022-02-07 12:18:50,2022,2,7,"Ситуация с коронавирусом в Подмосковье, похоже, вышла на плато, сказал губернатор","['Общество', 'Regиональные новости']","['Общество', 'Здравоохранение']"
143551,2024-03-29 08:04:27,2024,3,29,"«Укрэнерго"" сообщило о повреждениях тепло- и гидроэлектростанций в центре и на западе Украины","['Происшествия', 'Экономика', 'Международные отношения']","['Происшествия', 'Обстрелы']"
9138,2020-04-15 21:59:58,2020,4,15,"🇺🇸США. Университет Хопкинса сообщил, что число скончавшихся пациентов с коронавирусом превысило 27 тысяч","['Общество', 'Международные отношения', 'Происшествия']","['Общество', 'Здравоохранение']"
88473,2022-03-30 15:04:55,2022,3,30,"МЧС России сообщило РИА Новости, что его воздушные суда в условиях санкций могут летать по всему миру","['Политика', 'Экономика', 'Международные отношения']","['Политика', 'Санкции']"
163628,2024-11-11 17:20:44,2024,11,11,"Минобороны России опубликовало кадры поражения укрытий ВСУ с помощью тяжелой огнеметной системы ""Солнцепек"" в Харьковской области","['Политика', 'Происшествия', 'Международные отношения']","['Политика', 'Военные действия']"
86212,2022-03-14 06:35:10,2022,3,14,"Коронавирус на утро(данные университета Хопкинса)

Скончались  человек / выявленозаражений

1. 🇺🇸 США 967 552 / 79 517 492
2. 🇧🇷 Бразилия 655 234 / 29 361 024
3. Индия 515 850 / 42 990 991
4. Россия 353 054 / 17 040 721
5. 🇲🇽 Мексика 321 054 / 5 605 636
6. 🇵🇪 Перу 211 482 / 3 535 726
7. 🇬🇧 Британия 163 317 / 19 673 347
8. 🇮🇹 Италия 156 782 / 13 323 179
9. 🇮🇩 Индонезия 152 166 / 5 890 495
10. 🇫🇷 Франция 141 054 / 23 565 274","['Общество', 'Международные отношения', 'Происшествия']","['Общество', 'Здравоохранение']"
71058,2021-11-26 18:28:17,2021,11,26,"Последний российский модуль для МКС ""Причал"" пристыковался к станции. У ""Причала"" 5 портов для приема пилотируемых и грузовых кораблей и разных модулей.

Он позволит стыковать к МКС, в частности, новый российский корабль ""Орел"", предназначенный для полетов к Луне.","['Технологии', 'Международные отношения', 'Политика']","['Технологии', 'Космос']"
156242,2024-08-21 16:01:05,2024,8,21,"Сети операторов связи ""Ростелеком"", ""Билайн"" и Tele2 работают штатно, проблем не наблюдается, сообщили РИА Новости в компаниях.

В среду в России был зафиксирован серьезный сбой в работе ряда интернет-сервисов. Как заявили в Роскомнадзоре, он был связан с DDoS-атакой на операторов.","['Технологии', 'Происшествия', 'Экономика']","['Технологии', 'Интернет']"
128127,2023-09-15 16:08:00,2023,9,15,"В Казахстане приостановили продажу билетов на шоу Татьяны Навки.

В мэрии Алма-Аты РИА Новости заявили, что остановить продажи попросили организаторы и что власти к вопросу проведения концертов отношения не имеют.","['Культура', 'Международные отношения', 'Общество']","['Культура', 'Театр']"
123831,2023-07-13 07:31:09,2023,7,13,Лавров на встрече АСЕАН вызвал ажиотаж среди индонезийских журналистов,"['Международные отношения', 'Политика']","['Международные отношения', 'Дипломатия']"
104064,2022-09-30 10:18:50,2022,9,30,"Генсек НАТО проведет в 19.00 мск незапланированную пресс-конференцию, о теме выступления не сообщается","['Международные отношения', 'Политика']","['Международные отношения', 'НАТО']"
67297,2021-10-20 18:02:57,2021,10,20,Латвия на фоне беспрецедентного распространения коронавируса ,"['Общество', 'Международные отношения']","['Общество', 'Здравоохранение']"
166178,2024-12-07 01:15:43,2024,12,7,"По меньшей мере 26 человек погибли, еще 28 пострадали при столкновении 2 микроавтобусов в Кот-Д'Ивуаре, сообщает портал Abidjan","['Происшествия', 'Международные отношения']","['Происшествия', 'ДТП']"
96930,2022-06-28 11:13:47,2022,6,28,Выявленные за сутки заражения по регионам,"['Общество', 'Региональные новости']","['Общество', 'Здравоохранение']"
147474,2024-05-10 14:41:37,2024,5,10,"Мишустин во время выступления в Госдуме перечислил основные направления работы, на которых планирует сосредоточиться правительство:

▪️Укрепление экономики.

▪️Обеспечение технологического суверенитета.

▪️Цифровая трансформация.

▪️Народосбережение и поддержка семей с детьми.

▪️Повышение благосостояния граждан.

▪️Сбалансированное развитие регионов и инфраструктуры.","['Политика', 'Экономика', 'Общество']","['Политика', 'Внутренняя политика']"
70951,2021-11-26 08:45:04,2021,11,26,"Москва не будет сокращать бюджетные инвестиции в социальную сферу и развитие из-за коронавируса, сказал Собянин в интервью РИА Новости","['Экономика', 'Политика', 'Общество']","['Экономика', 'Бюджет']"
147163,2024-05-07 18:45:52,2024,5,7,"Небольшой снег пошел в Калининском, Выборгском и Приморском районах Петербурга, передает корреспондент РИА Новости","['Региональные новости', 'Общество']","['Региональные новости', 'Погода']"
49180,2021-05-12 01:22:57,2021,5,12,"Чрезвычайное положение объявлено в израильском Лоде из-за беспорядков, в город перебрасывают дополнительные наряды полиции, сообщила канцелярия премьера.

Видео из соцсетей.","['Происшествия', 'Политика', 'Международные отношения']","['Происшествия', 'Беспорядки']"
136753,2024-01-18 09:52:00,2024,1,18,Воздушная тревога объявлена на всей территории Украины,"['Происшествия', 'Международные отношения', 'Региональные новости']","['Происшествия', 'Военные действия']"
2717,2020-03-02 17:40:26,2020,3,2,"Володин рассказал, что Путин предложил в своих поправках к Конституции РФ установить русский народ  государствообразующим","['Политика', 'Общество']","['Политика', 'Конституция']"
1714,2020-02-11 12:46:04,2020,2,11,"Зеленский уволил Андрея Богдана с поста главы офиса президента Украины. 

На эту должность назначен Андрей Ермак, который ранее был советником Зеленского.","['Политика', 'Международные отношения']","['Политика', 'Внутренняя политика']"
168457,2024-12-27 23:57:56,2024,12,27,"RT запустил круглосуточный информационный телеканал на сербском языке RT Balkan.



Позже Захарова поздравила RT с запуском телеканала.

","['Общество', 'Международные отношения', 'Политика']","['Общество', 'СМИ']"
11063,2020-04-28 13:21:58,2020,4,28,"Российские банки стали, потому что им трудно оценить будущую платежеспособность заемщиков - Набиуллина",['Экономика'],"['Экономика', 'Банки']"
10214,2020-04-22 10:42:07,2020,4,22,В Подмосковье разрешили торговлю семенами и рассадой,"['Экономика', 'Региональные новости', 'Общество']","['Экономика', 'Торговля']"
56761,2021-07-13 13:42:54,2021,7,13,Кубинский посол проводит переговоры в МИД России,"['Международные отношения', 'Политика']","['Международные отношения', 'Дипломатия']"
80587,2022-02-17 18:10:09,2022,2,17,"В ЛНР назвали постановкой историю с ""обстрелом"" детсада в подконтрольной Киеву Новой Кондрашовке и объяснили, почему. Например, на публикуемых фото серьезно разрушены стены, но стекло в окнах везде цело. Кто хоть раз видел повреждения зданий от реальных обстрелов скажет, что это фейк, заявили в народной милиции ЛНР.","['Политика', 'Происшествия', 'Международные отношения']","['Политика', 'Пропаганда']"
44351,2021-03-28 03:32:00,2021,3,28,"Два нокаута: первый в августе принес победу Поветкину и был назван лучшим в 2020, второй сегодня принес победу Уайту.

Боксер Дмитрий Кудряшов заявил РИА Новости, что в противостоянии Поветкин–Уайт имеет смысл третий бой. Но промоутер Андрей Рябинский предположил, что Поветкин (41 год) завершит карьеру.",['Спорт'],"['Спорт', 'Бокс']"
